STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,COMMENT_TS,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_VALUE,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,YEM,WB_WDI_VC_BTL_DETH,_T,_T,_T,DT,_Z,_Z,_Z,2009,_Z,COUNT,2,WB_WDI,P1Y,Battle-related deaths (number of people),0,WB_WDI,PU,94.0,A,Annual,"Yemen, Rep.",Battle-related deaths (number of people),Total,All age ranges or no breakdown by age,Total,Deaths,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,YEM,WB_WDI_VC_BTL_DETH,_T,_T,_T,DT,_Z,_Z,_Z,2014,_Z,COUNT,2,WB_WDI,P1Y,Battle-related deaths (number of people),0,WB_WDI,PU,1826.0,A,Annual,"Yemen, Rep.",Battle-related deaths (number of people),Total,All age ranges or no breakdown by age,Total,Deaths,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARB,WB_WDI_VC_BTL_DETH,_T,_T,_T,DT,_Z,_Z,_Z,2015,_Z,COUNT,2,WB_WDI,P1Y,Battle-related deaths (number of people),0,WB_WDI,PU,72779.0,A,Annual,Arab World,Battle-related deaths (number of people),Total,All age ranges or no breakdown by age,Total,Deaths,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,YEM,WB_WDI_VC_BTL_DETH,_T,_T,_T,DT,_Z,_Z,_Z,2011,_Z,COUNT,2,WB_WDI,P1Y,Battle-related deaths (number of people),0,WB_WDI,PU,1143.0,A,Annual,"Yemen, Rep.",Battle-related deaths (number of people),Total,All age ranges or no breakdown by age,Total,Deaths,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,YEM,WB_WDI_VC_BTL_DETH,_T,_T,_T,DT,_Z,_Z,_Z,2013,_Z,COUNT,2,WB_WDI,P1Y,Battle-related deaths (number of people),0,WB_WDI,PU,578.0,A,Annual,"Yemen, Rep.",Battle-related deaths (number of people),Total,All age ranges or no breakdown by age,Total,Deaths,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARB,WB_WDI_VC_BTL_DETH,_T,_T,_T,DT,_Z,_Z,_Z,2014,_Z,COUNT,2,WB_WDI,P1Y,Battle-related deaths (number of people),0,WB_WDI,PU,83775.0,A,Annual,Arab World,Battle-related deaths (number of people),Total,All age ranges or no breakdown by age,Total,Deaths,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,YEM,WB_WDI_VC_BTL_DETH,_T,_T,_T,DT,_Z,_Z,_Z,2018,_Z,COUNT,2,WB_WDI,P1Y,Battle-related deaths (number of people),0,WB_WDI,PU,4639.0,A,Annual,"Yemen, Rep.",Battle-related deaths (number of people),Total,All age ranges or no breakdown by age,Total,Deaths,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFW,WB_WDI_VC_BTL_DETH,_T,_T,_T,DT,_Z,_Z,_Z,2019,_Z,COUNT,2,WB_WDI,P1Y,Battle-related deaths (number of people),0,WB_WDI,PU,3464.0,A,Annual,Western & Central Africa,Battle-related deaths (number of people),Total,All age ranges or no breakdown by age,Total,Deaths,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAR,WB_WDI_VC_BTL_DETH,_T,_T,_T,DT,_Z,_Z,_Z,2019,_Z,COUNT,2,WB_WDI,P1Y,Battle-related deaths (number of people),0,WB_WDI,PU,14664.0,A,Annual,Early-demographic dividend,Battle-related deaths (number of people),Total,All age ranges or no breakdown by age,Total,Deaths,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFG,WB_WDI_VC_BTL_DETH,_T,_T,_T,DT,_Z,_Z,_Z,2010,_Z,COUNT,2,WB_WDI,P1Y,Battle-related deaths (number of people),0,WB_WDI,PU,6864.0,A,Annual,Afghanistan,Battle-related deaths (number of people),Total,All age ranges or no breakdown by age,Total,Deaths,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
